,PMID/PMCID,Publisher,Journal title,Article title,Cost
966,23075508/3707011,Karger,neuroepidemiology,"Patent foramen ovale, ischemic stroke and migraine: systematic review and stratified meta-analysis of association studies",2075.98
967,23295962,Karger,neuropsychobiology,ZNF804A Genotype modulates neural activity during working memory for faces,2533.25
968,NA,Karger,respiration,Mesenchymal Stem Cells As Vectors For Lung Cancer Therapy ,2134.67
969,22302008/3405838,Landes Bioscience,autophagy,"A cyto-protective mechanism which prevents
primary human hepatocyte apoptosis during oxidative stress",601.1
970,3547901,Landes Bioscience,cell adhesion and migration,Emerging roles for semaphorins & VEGFs in synaptogenesis and synaptic platicity,321.46
971,23966160,Landes Bioscience,cell cycle,Protein phosphatase 4 is phosphorylated and inactivated by Cdk in response to spindle toxins and interacts with ?-tubulin,644.28
972,3735711,Landes Bioscience,cell cycle,The deubiquitylase USP15 stabilizes newly synthesized REST and rescues its expression at mitotic exit,666.0
973,23974100,Landes Bioscience,cell cycle,NF-kB regulates expression of Polo-like kinase 4,783.73
974,23518502/3674087,Landes Bioscience,cell cycle,Mcm8 and Mcm9 form a dimeric complex in Xenopus laevis egg extract that is not essential for DNA replication initiation,812.96
975,3536734,Landes Bioscience,channels,State-independent intracellular access of quatemary ammonium blockers to the pore of TREK-1,159.74
976,3469460,Landes Bioscience,epigenetics,"Human-specific CpG ""beacons"" identify loci associated with human-specific traits and disease",487.9
977,NA,Landes Bioscience,epigenetics,Integrated virus-host methylome analysis in head and neck squamous cell carcinoma,493.07
978,3741215,Landes Bioscience,epigentics,"On your histone mark, SET, methylate!",409.78
979,3592903,Landes Bioscience,epigentics,SETD6 monomethylates H2AZ on lysine 7 and is required for the maintenance of embryonic stem cell self-renewal,607.54
980,23635806,Landes Bioscience,rna biology,Human pentatricopeptide proteins- only a few and what do they do?,402.42
981,3672288,Landes Bioscience,rna biology,The functional exchangeability of pk- and k-turns in RNA structure,494.96
982,23422316/3710354,Landes Bioscience,rna biology,A two-stage mechanism of viral RNA campaction revealed by single molecule fluorescence,572.99
983,3594270,Landes Biosciences,cell cycle,ATM-dependent phosphorylation of heterogeneous nuclear ribonucleoprotein K promotes p53 transcriptional activation in response to DNA damage,762.88
984,3637335,Landes Biosciences,cell cycle,Dma/RNF8 proteins are evolutionarily conserved E3 ubiquitin ligases that target septins,804.61
985,NA,LWW,neurology,The pattern of atrophy in familial Alzheimer disease: Volumetric MRI results from the DIAN study,2504.36
986,NA,MacMillan,nan,Fungal Disease in Britain and the United States 1850-2000,13200.0
987,3526897,Mary Ann Liebert,antioxidants and redox signaling,Oxidation of the Yeast Mitochondrial Thioredoxin Promotes Cell Death,1347.79
988,23706023,Mary Ann Liebert,antioxidants and redox signaling,Ybp1 and Gpx3 signalling in Candida albicans govern hydrogen peroxide-induced oxidation of the Cap 1 transcription factor and macrophage escape,1681.94
989,3761558,Mary Ann Liebert,tissue engineering: part a,Effects of Fiber Orientation on teh Frictional Properties and damage of regenerative Articular Cartilage Surfaces,1741.32
990,23758132,MARY ANN LIEBERT INC,antioxidants and redox signaling,Does oxidative inactivation of CD45 phosphatase in rheumatoid arthritis underlie immune hyporesponsiveness?,2528.64
991,3549627,"Mary Ann Liebert, Inc. Publishers",stem cells and development,Mesoangioblasts Suppress T Cell Proliferation Through IDO & PGE-2 Dependent Pathways,1371.54
992,24132152/3821636,MDPI,international journal of molecular sciences,Absolute Quantification of selected proteins in the Human Osteoarthritic Secretome,1384.34
993,3717731,MDPI,jerph,Tobacco use and nicotine dependence among conflict-affected men in Georgia.,952.45
994,3571806,MDPI,sensors,Wearable and Implantable Sensors: The patientâs Perspective,1290.41
995,3077429,MIT Press,journal of cognitive neuroscience,"Executive-semantic processing is underpinned by a large-scale network: Revealing the contribution of left prefrontal, posterior temporal and parietal cortex to controlled retrieval and selection using TMS",808.85
996,3785137,MIT PRESS OPEN ACCESS,journal of cognitive neuroscience,Perceptual Integration for Qualitatively Different 3D Cues,999999.0
997,23567253/3641668,MY JOVE CORP,journal of visualized experiements,An Injury Paradigm to Investigate Central Nervous System Repair in Drosophila,517.5
998,NA,MY JOVE CORP,journal of visualized experiments,A flow adhesion assay to study leucocyte recruitment to human hepatic sinusoidal endothelium under conditions of shear stress,3284.88
999,NA,My JOVE corporation,journal of visulaized expermiments,FILM - to be filmed in November,2713.14
1000,3640431,MYJoVE Corporation,journal of visualized experiments,Chicken Embryo Spinal Cord Slice Culture Protocol,2671.48
1001,NA,MYJoVE Corporation,journal of visualized experiments,A decellularization methodology for the production of a natural acellular intestinal matrix,2711.19
1002,3606975,National Academy of Sciences,pnas,Membrane lipid saturation activates endoplasmic reticulum unfolded protein response transducers through their transmembrane domains,667.74
1003,3780889,National Academy of Sciences,pnas (proceedings of the national academy of sciences of the united states of america,Activation of the canonical IKK complex by K63/M1-linked hybrid ubiquitin chains,853.64
1004,3465389,National Academy of Sciences,proceddings of the national academy of sciences of usa,Evidence that Viral RNAs have Evolved for Efficient.  Two-stage Packaging,619.83
1005,3670340,National Academy of Sciences,proceedings of the national academy of sciences,Systematic identification of conserved bacterial c-di-AMP receptor proteins,395.6
1006,3479458,National Academy of Sciences,proceedings of the national academy of sciences,Structural basis for the recognition and cleavage of abasic DNA in Neisseria meningitidis,605.17
1007,3529010,National Academy of Sciences,proceedings of the national academy of sciences,Interactions between the nucleosome histone core and Arp8 in the INO80 chromatin remodeling complex,614.95
1008,3479523,National Academy of Sciences,proceedings of the national academy of sciences,Selectively altering belief formation in the human brain ,617.79
1009,3538261,National Academy of Sciences,proceedings of the national academy of sciences,Repair of the degenerate retina by photoreceptor transplantation,662.09
1010,3557024,National Academy of Sciences,proceedings of the national academy of sciences,Sexual reproduction and mating-type-mediated strain development in the penicillin-producing fungus Penicillium chrysogenum.,664.89
1011,3666720,National Academy of Sciences,proceedings of the national academy of sciences,Presynaptic maturation in auditory hair cells requires a critical period of sensory-independent spiking activity,765.36
1012,3619373,National Academy of Sciences,proceedings of the national academy of sciences,Neonatal antibody responses are attenuated by interferon gamma produced by NK and T cells during RSV infection,770.75
1013,3587277,National Academy of Sciences,proceedings of the national academy of sciences,Tapasin-related protein TAPBPR is an additional component of the MHC class I presentation pathway,792.0
1014,3752214,National Academy of Sciences,proceedings of the national academy of sciences,Progressive hearing loss and gradual deterioration of sensory hair bundles in the ears of mice lacking the actin-binding protein Eps8L2,793.02
1015,3746881,National Academy of Sciences,proceedings of the national academy of sciences,BslA is a self-assembling bacterial hydrophobin that coats the Bacillus subtilis biofilm.,888.18
1016,3009818,National Academy of Sciences,proceedings of the national academy of sciences of the united states of america,"Exquisite sensitivity to subsecond, picomolar nitric oxide transients conferred on cells by guanylyl cyclase-coupled receptors",601.7
1017,3607024,National Academy of Sciences ,proceedings of the national academy of sciences,Astrocyte pathology and the absence of non-cell autonomy in an induced pluripotent stem cell model of TDP-43 proteinopathy.,2691.68
1018,23213245/3529034,National Academy of Sciences of the United States of America,proceedings of the national academy of sciences,Increased lipolysis and altered lipid homeostatis protect y-synuclein-null mutant mice from diet induced obesity,751.84
1019,3581936,National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,Specific DNA recognition mediated by a type IV pilin,567.65
1020,23391734/3581986,National Academy of Sciences USA,proceedings of the national academy of sciences of the united states of america,STAT2 deficiency and susceptibility to viral illness in humans,890.0
1021,3612627,"National Academy of Sciences, USA",pnas,Reversible epigenetic down-regulation of MHC molecules by devil facial tumour disease illustrates immune escape by a contagious cancer,1069.8
1022,3491471,"National Academy of Sciences, USA",pnas,Efficient -2 frameshifting by mammalian ribosomes to synthesize an additional arterivirus protein,725.4
1023,3503170,"National Academy of Sciences, USA",proceedings of the national academy of sciences,Prediction of economic choice by primate amygdala neurons,732.25
1024,23319650/3562850,"National Academy of Sciences, USA",proceedings of the national academy of sciences,Structure of the trypanosome haptoglobin haemoglobin receptor and implications for nutrient uptake and innate immunity,759.3
1025,23650371/23650371,"National Academy of Sciences, USA",proceedings of the national academy of sciences,"CaBP1, a neuronal Ca2+ sensor protein, inhibits inositol trisphosphate receptors by clamping intersubunit interactions",786.98
1026,NA,Nature,biosocieties,"""Creating the 'Ethics Industry': Mary Warnock, In Vitro Fertilization and the History of Bioethics in Britain""",1800.0
1027,3493860,Nature,british journal of cancer,The FOXM1-PLK1 axis is commonly upregulated in oesophageal adenocarcinoma,2040.0
1028,3817338,Nature,british journal of cancer,The potential contribution of tumour related factors to the development of FOLFOX induced sinusc obstruction syndrome,2040.0
1029,3674354,Nature,cell death and disease,Amyloid-? and Alzheimers disease type pathology differentially affects the calcium signalling toolkit in astrocytes from different brain regions,2040.0
1030,3730438,Nature,cell death and disease,Differentiation of adipose-derived stem cells into Schwann cell phenotype induces expression of P2X receptors that control cell death,2040.0
1031,3618382,Nature,cell death and disease,Taurine transport in human placental trophoblast is important for regulation of cell differentiation and survival,2520.0
1032,3619234,Nature,cell death and differentiation,IF1 limits the apoptotic-signalling cascade by preventing mitochondrial remodelling ,3000.0
1033,3563982,Nature,cell death and disease,Dopamine protects neurons against glutamat-induced excitotoxicity,2400.0
1034,3584288,Nature,frontiers,Visual surround suppression in schizophrenia,808.85
1035,NA,Nature,gene therapy,Inhibition of Neointimal Hyperplasia in a Rabbit Vein Graft Model Following Non-Viral Transfection with Human iNOS cDNA,3000.0
1036,23703681,Nature,genetics in medicine,Population-based estimates of the prevalence of FMR1 expansion mutations in women with early menopause and primary ovarian insufficiency,999999.0
1037,3790930,Nature,journal of cerebral blood flow and metabolism,The effects of focal epileptic activity on regional sensory-evoked neurovascular coupling and post-ictal modulation of bilateral sensory processing,1920.0
1038,3597375,Nature,journal of cerebral blood flow and metabolism,Is myelin a mitochondrion?,2040.0
1039,3678977,Nature,journal of investigative dermatology,Multiple Congenital Melanocytic Naevi and Neurocutaneous Melanosis are Caused by Post-Zygotic Mutations in Codon 61 of NRAS.,2520.0
1040,3574974,Nature,mucosal immunology,CTLA-4 promotes Foxp3 induction and regulatory T cell accumulation in the intestinal lamina propria,2940.0
1041,3709474,Nature,nature communications,Primary Sensory Cortices Contain Distinguishable Spatial Patterns of Activity for Each Sense,1890.0
1042,3644070,Nature,nature communications,A role for piezo2 in EPAC1 dependent mechanical allodynia,2562.0
1043,3562455,Nature,nature communications,Signaling properties of inorganic polyphosphate in the mammalian brain,3642.0
1044,3731653,Nature,nature communications,Variability in visual cortex size reflects tradeoff between local orientation sensitivity and global orientation modulation,3780.0
1045,NA,Nature,nature communications,Meta-analysis of IDH-mutant cancers identifies EBF1 as an interaction partner for TET2,3780.0
1046,3709478,Nature,nature communications,Picornavirus uncoating intermediate captured in atomic detail.,999999.0
1047,3535331,Nature,nature communications,Factors determining the occurrence of submicroscopic malaria infections and their relevance for control,910.8
1048,3480808,Nature,scientific reports,Estimating the proportion of variation in susceptibility to multiple sclerosis captured by common SNPs.,1068.0
1049,3605607,Nature,scientific reports,Homogeneous Antibody Fragment Conjugation By Disulfide Bridging Introduces 'Spinostics',1068.0
1050,3388244,Nature ,cell death and disease,HtrA2 deficiency causes mitochondrial uncoupling through the F1F0-ATP synthase and consequent ATP depletion,2400.0
1051,23999103,Nature PG,embo reports,Chemerin15 inhibits neutrophil-mediated vascular inflammation and myocardial ischemia-reperfusion injury through ChenR23,3120.0
1052,3476715,Nature Publishing,european journal of human genetics,CNVs leading to fusion-transcripts in individuals with autism spectrum disorder,2400.0
1053,3505832,Nature Publishing,leukemia,Quantification of subclonal distributions of recurrent genomic aberrations in paired pre-treatment and relapse samples from patients with B-cell chronic lymphocytic leukemia.,3000.0
1054,24108241,Nature Publishing,nature communications,AMA1 of Apicomplexa mediates parasite attachment but is dispensable for host cell invasion,3498.0
1055,3378494,Nature Publishing,nature neuroscience,Mechanisms underlying cortical activity during value-guided choice,1272.86
1056,23328632/3619236,Nature Publishing Group,cell death differentiation,SCAR/WAVE-mediated processing of engulfed apoptotic corpses is essential for effective macrophage migration in Drosophila.,3000.0
1057,23511972/3630358,Nature Publishing Group,embo,Structure of a bacterial type IV secretion core complex at subnanometer resolution,3120.0
1058,3671254,Nature Publishing Group,embo journal,SENP3-mediated DeSUMOylation of dynamin-related protein 1 Promotes Cell Death Following Ischemia,3120.0
1059,3791366,Nature Publishing Group,embo journal,Identification of the missing pluripotency mediator downstream of leukaemia inhibitory factor,3120.0
1060,3642681,Nature Publishing Group,embo journal,"Distinct roles for Sir2 and RNAi in centromeric heterochromatin nucleation, spreading and maintenance",3120.0
1061,3545308,Nature Publishing Group,embo journal,Dissecting the mechanisms of Notch induced hyperplasia,3120.0
1062,3616287,Nature Publishing Group,embo journal,"PDK1 regulates VDJ recombination, cell-cycle exit and survival during B-cell development",3120.0
1063,3770947,Nature Publishing Group,embo journal,A cyclic GMP-dependent signalling pathway regulates bacterial phytopathogenesis.,3120.0
1064,23670199/3701237,Nature Publishing Group,embo reports,Prdm14 promotes germline fate and naïve pluripotency by7 repressing FGF signalling and DNA methylation,3120.0
1065,3615658,Nature Publishing Group,embo reports,Physiological release of endogenous tau is stimulated by neuronal activity,999999.0
1066,23632796,Nature Publishing Group,european journal of human genetics,"Whole exome sequencing, without prior linkage, identifies a mutation in LAMB3 as a cause of dominant hypoplastic amelogenesis imperfecta",2400.0
1067,NA,Nature Publishing Group,genetics in medicine,Behavioral genetics and population health interventions for alcohol problems: at odds or oddly in agreement?,3000.0
1068,23229735/3734734,Nature Publishing Group,international journal of obesity,Catch-up growth following intra-uterine growth restriction programmes an insulin-resistant phenotype in adipose tissue,3000.0
1069,3778837,Nature Publishing Group,journal of investigative dermatology,The IL23R A/Gln381 allele promotes IL-23 unresponsiveness in human memory T helper17 cells and impairs Th17 responses in psoriasis patients,2520.0
1070,23743648,Nature Publishing Group,journal of investigative dermatology,Heterozygous mutations in AAGAB cause type 1 punctate palmoplantar keratoderma with evidence for increased growth factor signalling,2520.0
1071,23962810,Nature Publishing Group,journal of investigative dermatology,Keratin 9 is Required for the Structural Integrity and Terminal Differentiation of Palmoplantar Epidermis,2520.0
1072,3674403,Nature publishing group,kidney international,"Albuminuria: too much testosterone, too few nephrons",2400.0
1073,3675710,Nature Publishing Group,kidney international,Leukocyte and serum S100A8/S100A9 expression reflects disease activity in ANCA-associated vasculitis and glomerulophritis,2400.0
1074,23302769/3677138,Nature Publishing Group,leukemia,Bivalent promoter marks and a latent enhancer may prime the leukaemia oncogene LMO1 for ectopic expression in T-cell leukaemia,3480.0
1075,3806405,Nature Publishing Group,mucosal immunology,?? T cells suppress inflammation and disease during rhinovirus-induced asthma exacerbations,3000.0
1076,3535338,Nature Publishing Group,nature communications,T-bet and GATA3 orchestrate Th1 and Th2 differentiation through lineage-specific targeting of distal regulatory elements.,1821.6
1077,3674234,Nature Publishing Group,nature communications,Spatial segregation of polarity factors into distinct cortical clusters is required for cell polarity control,2562.0
1078,24157919/3826647,Nature Publishing Group,nature communications,Bod1 regulates protein phosphatase 2A at mitotic kinetochores.,3498.0
1079,3293425,Nature Publishing Group,nature communications,Dynamics of anterior-posterior axis formation in the developing mouse embryo,3642.0
1080,3615473,Nature Publishing Group,nature communications,Topoisomerase II? promotes activation of RNA polymerase I transcription by facilitating pre-initiation complex formation,3642.0
1081,3709497,Nature Publishing Group,nature communications,Restricted perinatal retinal degeneration induces retina reshaping and correlated structural rearrangement of the retinotopic map,3642.0
1082,23149744/3514496,Nature Publishing Group,nature communications,The Hedgehog signalling pathway regulates autophagy,3642.0
1083,3621422,Nature Publishing Group,nature communications,SynGAP isoforms exert opposing effects on synaptic strength.,3780.0
1084,3778765,Nature Publishing Group,nature communications,Control of synaptic vesicle endocytosis by an extracellular signalling molecule,3780.0
1085,3741640,Nature Publishing Group,nature communications,Angiomotin prevents pluripotent lineage differentiation in mouse embryos via Hippo pathway dependent and independent mechanisms,3780.0
1086,3604800,Nature Publishing Group,nature scientific reports,Using False Discovery Rates to Benchmark SNP-callers in next-generation sequencing projects,1068.0
1087,3746700,Nature Publishing Group,neuropsychopharmacology,Prefontal hyperactivity associated with impaired inhibition in stimulant-dependant individuals but evidence for hyperactivation in their unaffected siblings,1500.0
1088,3656369,Nature Publishing Group,neuropsychopharmacology,Lack of association between COMT and working memory in a population-based cohort of healthy young adults,3000.0
1089,3717539,Nature Publishing Group,neuropsychopharmacology,A translational rodent assay of affective biases in depression and antidepressant therapy,3000.0
1090,3682146,Nature Publishing Group,neuropsychopharmacology,D-amphetamine and antipsychotic drug effects on latent inhibition in mice lacking dopamine D2 receptors,3000.0
1091,3629389,Nature Publishing Group,neuropsychopharmacology,"Seratonin 2A receptors, citalopram and tryptophan - depletion: a multimodal imaging study of their interactions during response inhibition",3000.0
1092,23686316,Nature Publishing Group,oncogene,SATB1 collaborates with loss of p16 in cellular transformation,2774.45
1093,23708655,Nature Publishing Group,oncogene,Hox-mediated lmo2 expression in embryonic mesoderm is recapitulated in acute leukaemias,3360.0
1094,23975431,Nature Publishing Group,oncogene,"Signalling mediated by the NF-kB sub-units NF-kB1, NF-kB2 and C-Rel differentially regulate Helicobacter felis-induced gastric carcinogenesis in C57BL/6 mice",3360.0
1095,23230506/3516806,Nature Publishing Group,sci rep,Structure of a metal-independent bacterial glycosyltransferase that catalyzes the synthesis of histo-blood group A antigen.,1068.0
1096,3557449,Nature Publishing Group,scientific reports,A Weber-like law for perceptual learning,1068.0
1097,3628164,Nature Publishing Group,scientific reports-11-00861b,The distribution of haemoglobin C and its prevalence in newborns in Africa,1068.0
1098,3492727,Nature Publishing Group,the embo journal,Endocytic tubules regulated by Rab GTPases 5 and 11 are used for envelopment of herpes simplex virus,1560.0
1099,24076655/3817463,Nature Publishing Group,the embo journal,TRIAD1 and HHARI bind to and are activated by distinct neddylated Cullin-RING ligase complexes,3120.0
1100,3631608,Nature publishing group,journal of investigative dermatology,T-Cell Reconstitution after Thymus Xenotransplantation Induces Hair Depigmentation and Loss,2520.0
1101,3641407,Nature Publishing Group,translational psychiatry,Advancing the defensive explanation for anxiety disorders: lorazepam effects on human defense are systematically modulated by personality and threat-type,2880.0
1102,3731785,Nature Publishing Group,translational psychiatry,Reduced Subcortical Glutamate/Glutamine in Adults with Autism Spectrum Disorders: A [1H]MRS Study,2880.0
1103,3610641,Nature Publishing Group ,mucosal immunology,Endogenous IL-21 regulates pathogenic mucosal CD4 T-cell responses during enhanced RSV disease in mice,3000.0
1104,3684776,Nature Publishing Group ,mucosal immunology,Impaired innate interferon induction in severe therapy resistant atopic,3000.0
1105,3674235,NATURE PUBLISHING GROUP LTD,nature communications,THE PORE OF VOLTAGE-GATED POTASSIUM ION CHANNELS IS STRAINED WHEN CLOSED,2562.0
1106,3512392,NPG,embo journal,Molecular basis for SNX-BAR-mediated assembly of distinct endosomal sorting tubules,3120.0
1107,3736456,Open Access Reg Ltd,journal of the international aids society,"Sexual risk after HIV diagnosis: a comparison of pre-ART individuals with CD4_500 cells/ml and ART-eligible individuals in a HIV treatment and care programme in rural KwaZulu-Natal, South Africa",1451.6
1108,3503144,Optical Society of America,optics express,Maximum precision closed-form solution for localizing diffraction-limited spots in noisy images,1375.33
1109,3633361,OUP,alcohol and alcoholism,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems,2040.0
1110,3639724,OUP,american jnl epidemiology,Using a nonparametric multilevel latent Markov model to evaluate diagnostics for trachoma.,2040.0
1111,3813311,OUP,american journal of epidemiology,Prenatal exposures and anti-Müllerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children,2040.0
1112,3132275,OUP,american journal of epidemiology,Association between urban life-years and cardiometabolic risk: the Indian migration study,2040.0
1113,3286332,OUP,brain,Clinico-pathological features in amyotrophic lateral sclerosis with expansions in C9ORF72,2040.0
1114,3673458,OUP,brain,A functional magnetic resonance imaging study mapping the episodic memory encoding network in temporal lobe epilepsy,2040.0
1115,3673465,OUP,brain,Memory reorganization following anterior temporal lobe resection: a longitudinal study,2040.0
1116,3692041,OUP,brain,Letter to the Editor Reply: Snesorineural hearing loss in OPA1-linked disorders,2040.0
1117,NA,OUP,brain,The role of human ventral visual cortex in motion perception,2400.0
1118,3754462,OUP,brain,Nucleotide precursors prevent folic acid-resistant neural tube defects in the mouse,2400.0
1119,NA,OUP,brain,"Atypical basic movement kinematics in autism spectrum conditions
",2400.0
1120,NA,OUP,brain,"Epilepsy, hippocampal sclerosis and febrile seizures linked by common genetic variation around SCN1A",2400.0
1121,NA,OUP,brain,Reading therapy strengthens top-down connectivity in patients with pure alexia,2400.0
1122,NA,OUP,briefings in bioinformatics,Transcription factor interplay in T helper cell differentiation,2100.0
1123,3675899,OUP,british medical bulletin,Mitochondrial genetics,2100.0
1124,NA,OUP,cerebral cortex,The pathways for intelligible speech: multivariate and univariate perspectives,1875.0
1125,NA,OUP,cerebral cortex,Direct evidence for attention-dependent influences of the frontal eye-fields on feature-responsive visual cortex,2250.0
1126,24047602,OUP,cerebral cortex,The early fetal development of human neocortical gabaergic interneurons,2250.0
1127,NA,OUP,cerebral cortex,Individual differences in laughter perception reveal roles for mentalising and sensorimotor systems in the evaluation of emotional authenticity,2550.0
1128,3669524,OUP,clinical infectious diseases,A review of self-testing for HIV: research and policy priorities in a new era of HIV prevention.,1700.0
1129,NA,OUP,clinical infectious diseases,Chickenpox and risk of stroke: a self-controlled case series analysis ,2625.6
1130,3552526,OUP,clinical infectious diseases online,Cardiac disease in adolescents with delayed diagnosis of vertically-acquired HIV infection.,2040.0
1131,NA,OUP,european heart journal online,SCORE performance in Central and Eastern Europe and former Soviet Union: MONICA and HAPIEE results,2040.0
1132,3584993,OUP,health policy planning,"Willingness to pay for a rapid malaria diagnostic test and artemisinin-based combination therapy from private drug shops in Mukono District, Uganda.",1800.0
1133,3596849,OUP,human molecular genetics,Genome-wide association study identifies loci on 12q24 and 13q32 associated with Tetralogy of Fallot,2040.0
1134,3842181,OUP,human molecular genetics,Armet/Manf and Creld2 are components of a specialised ER stress response provoked by inappropriate,2100.0
1135,23814040,OUP,human molecular genetics,Altered 2-thiouridylation impairs mitochondrial translation in reversible infantile repiratory chain deficiency,2100.0
1136,NA,OUP,human molecular genetics,"Age-associated epigenetic drift: implications, and a case of epigenetic thrift?",2100.0
1137,NA,OUP,human molecular genetics,"Folliculin interacts with p0071 (plakophilin-4) and deficiency is associated with disordered RhoA signalling, epithelial polarization and cytokinesis",2100.0
1138,3510758,OUP,human molecular genetics,Genome Wide Meta-analysis points to CTC1 and ZNF676 as genes regulating telomere homeostasis in humans,999999.0
1139,3396314,OUP,int j epidemiol,"Status of epidemiology in the WHO South-East Asia region: burden of disease, determinants of health and epidemiological research, workforce and training capacity.",1700.0
1140,NA,OUP,international joural of epidemiology,Estimating the coverage of mental health programmes: a systematic review,2400.0
1141,3780998,OUP,international journal of epidemiology,Time series regression studies in environmental epidemiology.,2040.0
1142,NA,OUP,international journal of epidemiology,Cohort profile: Andhra Pradesh children and parents study.,2400.0
1143,23788479/3797641,OUP,journal of antimicrobial chemotherapy,Flucytosine and cryptococcosis: time to urgently address the worldwide accessibility of a 50-year-old antifungal,2400.0
1144,23493728/3654748,OUP,journal of infectious diseases,The Phenotype of the Cryptococcus-specific CD4 Memory T-cell Response is Associated with Disease Severity and Outcome in HIV-associated Cryptococcal Meningitis,2250.0
1145,NA,OUP,journal of infectious diseases,Viral suppression following switch to second-line antiretroviral therapy: associations with NRTI resistance and 'sub-therapeutic' drug concentrations prior to switch ,2625.6
1146,23945372,OUP,journal of infectious diseases,Cryptococcus neoformans ex vivo capsule size is associated with intracranial pressure and host immune response in HIV?associated cryptococcal meningitis,2625.6
1147,3352832,OUP,journal of the national cancer institute,Association between genetic variants on chromosome 15q25 locus and objective measures of tobacco exposure,2040.0
1148,23595147/3675483,OUP,nucleic acids research,Nucleocapsid protein structures from orthobunyaviruses reveal insight into ribonucleoprotein architecture and RNA polymerization ,1704.0
1149,23771140/3753647,OUP,nucleic acids research,Impact of Target Site Distribution for Type I Restriction Enzymes on the Evolution of Methicillin Resistant Staphylococcus aureus (MRSA) Populations,2184.0
1150,3467080,OUP,nucleic acids research,Protein kinase CK2 inactivates PRH/Hhex using multiple mechanisms to derepress VEGF signalling genes and promote cell survival,852.0
1151,3553950,OUP,nucleic acids research,The Type ISP Restriction-Modification enzymes LlaBIII and LlaGI use a translocation-collision mechanism to cleave non-specific DNA distant from their recognition sites,852.0
1152,3553963,OUP,nucleic acids research,DNA cleavage by Type ISP Restriction-Modification enzymes is initially targeted to the 3'-5' strand,852.0
1153,3592466,OUP,nucleic acids research,Organization of the BcgI restriction-modification protein for the  transfer of one methyl group to DNA,852.0
1154,3592470,OUP,nucleic acids research,Organization of the BcgI restriction-modification protein for the cleavage of eight phosphodiester bonds in DNA,852.0
1155,3575838,OUP,nucleic acids research,Unwinding of primer-templates by archaeal family - B DNA polymerases in response to template-strand uracil,852.0
1156,3627570,OUP,nucleic acids research,Resolving the polymorphism-in-probe problem is critical for correct interpretation of expression QTL studies,852.0
1157,3627603,OUP,nucleic acids research,Human SIRT1 regulates DNA-binding and stability of the Mcm10 DNA replication factor via deacetylation,852.0
1158,24038356,OUP,nucleic acids research,The splicing landscape is globally reprogrammed during male meiosis,852.0
1159,NA,OUP,public health ethics,Using social networking sites for communicable disease control: innovative contact tracing or breach of confidentiality?,1800.0
1160,3281495,OUP,rheumatology,Dynamic regulation of glucocorticoid signalling in health and disease,2040.0
1161,3651613,OUP,rheumatology,High bone mass is associated with an increased prevalence of joint replacement: a case-control study,2040.0
1162,3494044,OUP,schizophrenia bulletin,Alterations in white matter evident before the onset of psychosis,2047.5
1163,NA,OUP,social cognitive and affective neuroscience,Social brains on drugs: tools for neuromodulation in social neuroscience,1800.0
1164,NA,OUP,social cognitive and affective neuroscience,Neural correlates of the 'good life': eudaimonic well-being is associated with insular cortex volume,2040.0
1165,3525058,Oxford Journals,brain,Abnormal thalamocortical structural and functional connectivity in juvenile myoclonic epilepsy,2040.0
1166,23892734,Oxford Journals,cardiovascular research,T brucei cathepsinL increases arrhythmogenic sarcoplasmic reticulum - mediated calcium release in rat cardiomyocytes,2040.0
1167,3540040,Oxford Journals,clinical infectious diseases,"Frequency, severity and prediction of tuberculous meningitis immune reconstitution inflammatory syndrome",1700.0
1168,3616517,Oxford Journals,clinicla infectious disease,Association of Human Leukocyte Antigen Alleles and Nevirapine Hypersensitivity in a Malawian HIV-infected population,2040.0
1169,NA,Oxford Journals,glycobiology,A novel role for Gtb1p in glucose trimming of N-linked glycans,440.66
1170,3177649,Oxford Journals,human molecular genetics,Allelic heterogeneity and more detailed analyses of known loci explain additional phenotypic variation and reveal complex patterns of association,2040.0
1171,3596848,Oxford Journals,human molecular genetics,A genome-wide association study of early menopause and the combined impact of identified,2040.0
1172,3749866,Oxford Journals,human molecular genetics,Genome-Wide Association Study of Primary Tooth Eruption Identifies Pleiotropic Loci Associated With Height and Craniofacial Distances,2100.0
1173,3733698,Oxford Journals,inyernational journal of epidemiology,Inequalities in the uptake of human papillomavirus vaccination: a systematic review and meta-analysis,2040.0
1174,3594497,Oxford Journals,journal of antimicrobial chemotherapy,An analysis of the development and implementation of a Smartphone Application for the delivery of Antimicrobial Prescribing Policy: Lessons Learnt,2040.0
1175,3403862,Oxford Journals,journal of gerontology series a: medical sciences,The association of dementia with upper arm and waist circumference in seven low and middle-income countries: the 10/66 cross-sectional surveys,2040.0
1176,23620542,Oxford Journals,journal of public health,Examining inequalities in the uptake of the school-based HPV vaccination programme in England: a retrospective cohort study,1800.0
1177,22735079,Oxford Journals,molecular biology and evolution,The impact of mutation and gene conversion on the local diversification of antigen genes in African trypanosomes,920.0
1178,3819976,Oxford Journals,nicotine and tobaco research,Association of Maternal Smoking with Child Cotinine Levels,2625.6
1179,3635503,Oxford Journals,social history of medicine,Refuse and the Risk Society: The Political Ecology of Risk in Inter-war Britain,2040.0
